ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,School ID (12-digit) - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2024-25,American Indian/Alaska Native Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2022-23,American Indian/Alaska Native Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2020-21,American Indian/Alaska Native Students [Public School] 2019-20,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2002-03,American Indian/Alaska Native Students [Public School] 1998-99,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1990-91
HAMILTON CENTER,District of Columbia,110003000261,†,†,†,†,†,†,†,†,†,0,0,0,†,†,†
HARDY MS,District of Columbia,110003000186,0,0,1,2,2,0,1,–,0,0,1,1,0,0,0
HARMONY DC PCS - SCHOOL OF EXCELLENCE,DISTRICT OF COLUMBIA,110009600491,1,0,0,2,2,1,1,–,0,†,†,†,†,†,†
HARRIS PATRICIA R. EC,District of Columbia,110003000167,†,†,†,†,†,†,†,†,†,†,1,0,0,0,0
HARRISON ELEMENTARY SCHOOL,District of Columbia,110003000184,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0
HART MS,District of Columbia,110003000135,0,0,0,–,–,1,–,–,0,1,1,0,0,0,0
HEARST ES,District of Columbia,110003000183,0,0,0,–,1,0,1,1,0,0,1,1,0,0,0
HENDLEY ES,District of Columbia,110003000182,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
HINE JHS,District of Columbia,110003000146,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
HLTH HMN SERV LAW & LEGAL SERV ACADEMY AT EASTERN,District of Columbia,110003000311,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HOPE COMMUNITY PCS - LAMOND,District of Columbia,110005100301,†,†,†,†,–,0,–,–,0,0,0,†,†,†,†
HOPE COMMUNITY PCS - TOLSON,District of Columbia,110005100386,0,0,0,–,–,1,1,1,2,0,†,†,†,†,†
HOSPITALITY HIGH SCHOOL,District of Columbia,110001000224,†,†,†,†,†,†,†,†,0,0,0,0,†,†,†
HOUSTON ES,District of Columbia,110003000181,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
HOWARD ROAD ACADEMY PCS  MLK CAMPUS,District of Columbia,110002900425,†,†,†,†,†,†,†,†,†,0,†,†,†,†,†
HOWARD ROAD ACADEMY PCS PENNSYLVANIA AVENUE,District of Columbia,110002900389,†,†,†,†,†,†,†,†,†,0,†,†,†,†,†
HOWARD UNIVERSITY MS OF MATHEMATICS AND SCIENCE PCS,District of Columbia,110005800308,1,1,0,–,–,0,1,1,0,0,0,†,†,†,†
HYDE-ADDISON ES,District of Columbia,110003000180,1,1,1,1,–,0,–,–,1,0,0,2,0,0,0
I DREAM PCS,DISTRICT OF COLUMBIA,110011400538,0,0,0,–,–,†,†,†,†,†,†,†,†,†,†
IDA B. WELLS MS,DISTRICT OF COLUMBIA,110003000524,1,1,0,1,2,2,†,†,†,†,†,†,†,†,†
IDEA PCS,District of Columbia,110001300227,0,0,2,1,1,1,1,1,0,0,0,0,†,†,†
IDEAL ACADEMY PCS,District of Columbia,110001200401,†,†,†,†,†,†,–,1,0,0,†,†,†,†,†
IDEAL ACADEMY PCS  PEABODY STREET CAMPUS HS,District of Columbia,110001200226,†,†,†,†,†,†,†,†,†,1,1,0,†,†,†
IMAGINE SOUTHEAST PC,District of Columbia,110007400409,†,†,†,†,†,†,†,†,†,0,†,†,†,†,†
INGENUITY PREP PCS,District of Columbia,110009000460,0,1,0,–,–,0,–,1,3,†,†,†,†,†,†
INSPIRED TEACHING DEMONSTRATION PCS,District of Columbia,110008000437,2,2,1,–,1,1,2,2,2,†,†,†,†,†,†
INSPIRING YOUTH PROGRAM,District of Columbia,110003000385,†,†,†,†,†,†,†,†,0,0,†,†,†,†,†
J.O. WILSON ES,District of Columbia,110003000062,1,0,1,1,1,0,–,1,1,0,1,0,2,3,0
JACKIE ROBINSON CENTER,District of Columbia,110003000205,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
JACKSON-REED HS,District of Columbia,110003000133,4,7,8,6,5,4,4,1,3,5,4,0,2,2,1
JANNEY ES,District of Columbia,110003000179,2,2,0,–,–,0,–,–,1,2,1,6,0,0,2
JEFFERSON MS,District of Columbia,110003000145,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0
JEFFERSON MS ACADEMY,District of Columbia,110003000453,2,3,1,1,–,0,–,–,1,†,†,†,†,†,†
JOHN FRANCIS EDUCATION CAMPUS,District of Columbia,110003000149,4,4,3,1,3,3,3,2,1,0,0,0,2,1,2
JOHN LEWIS ES,District of Columbia,110003000067,2,2,2,2,1,0,1,2,0,0,0,1,1,0,0
JOHNSON MS,District of Columbia,110003000144,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
JOSE-ARZ ACADEMY PUBLIC CHARTER SCHOOL            ,District of Columbia,110003600254,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†
KAMIT INSTITUTE PCS,District of Columbia,110003700255,†,†,†,†,†,†,†,†,†,†,0,0,†,†,†
KEENE ELEMENTARY SCHOOL,District of Columbia,110003000178,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0
KELLY MILLER MS,District of Columbia,110003000272,0,0,0,–,–,0,1,1,0,0,0,†,†,†,†
KENILWORTH ES,District of Columbia,110003000177,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0
KETCHAM ES,District of Columbia,110003000176,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
KEY ES,District of Columbia,110003000174,0,0,0,–,–,1,1,3,1,0,1,0,0,0,0
KIMBALL ES,District of Columbia,110003000173,0,1,0,–,–,1,1,1,0,0,0,0,0,0,0
KING ES,District of Columbia,110003000102,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
KINGSMAN ACADEMY PCS,DISTRICT OF COLUMBIA,110009900502,0,0,0,–,–,0,–,–,†,†,†,†,†,†,†
KINGSMAN ELEMENTARY SCHOOL,District of Columbia,110003000172,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0
KIPP DC - AIM ACADEMY PCS,District of Columbia,110003100381,2,1,0,1,–,0,–,–,0,0,†,†,†,†,†
KIPP DC - ARTS AND TECHNOLOGY ACADEMY PCS,DISTRICT OF COLUMBIA,110003100489,0,1,1,1,1,1,1,–,0,†,†,†,†,†,†
KIPP DC - COLLEGE PREPARATORY PCS,District of Columbia,110003100421,1,1,0,–,–,0,–,–,0,0,†,†,†,†,†
KIPP DC - CONNECT ACADEMY PCS,District of Columbia,110003100468,1,1,0,–,1,1,1,–,0,†,†,†,†,†,†
KIPP DC - DISCOVER ACADEMY PCS,District of Columbia,110003100427,2,1,0,–,–,0,2,1,0,0,†,†,†,†,†
KIPP DC - GROW ACADEMY PCS,District of Columbia,110003100432,0,0,0,‡,–,0,–,–,0,0,†,†,†,†,†
KIPP DC - HEIGHTS ACADEMY PCS,District of Columbia,110003100452,3,0,2,1,2,2,1,1,0,†,†,†,†,†,†
KIPP DC - HONOR ACADEMY PCS,DISTRICT OF COLUMBIA,110003100522,0,0,0,–,–,0,†,†,†,†,†,†,†,†,†
KIPP DC - INSPIRE ACADEMY PCS,DISTRICT OF COLUMBIA,110003100542,0,0,0,–,†,†,†,†,†,†,†,†,†,†,†
KIPP DC - KEY ACADEMY PCS,District of Columbia,110003100246,0,0,0,–,–,0,–,–,0,0,0,0,†,†,†
KIPP DC - LEAD ACADEMY PCS,District of Columbia,110003100463,1,1,0,–,–,0,–,–,0,†,†,†,†,†,†
KIPP DC - LEAP ACADEMY PCS,District of Columbia,110003100375,0,–,1,–,–,0,–,–,0,0,†,†,†,†,†
KIPP DC - NORTHEAST ACADEMY PCS,DISTRICT OF COLUMBIA,110003100487,0,0,0,–,–,0,–,–,0,†,†,†,†,†,†
KIPP DC - PRIDE ACADEMY PCS,DISTRICT OF COLUMBIA,110003100541,2,2,0,–,†,†,†,†,†,†,†,†,†,†,†
KIPP DC - PROMISE ACADEMY PCS,District of Columbia,110003100419,1,1,0,–,–,0,–,–,0,0,†,†,†,†,†
KIPP DC - QUEST ACADEMY PCS,DISTRICT OF COLUMBIA,110003100488,2,1,1,1,–,0,1,2,0,†,†,†,†,†,†
KIPP DC - SPRING ACADEMY PCS,District of Columbia,110003100469,0,0,0,‡,–,0,–,–,0,†,†,†,†,†,†
KIPP DC - VALOR ACADEMY PCS,DISTRICT OF COLUMBIA,110003100486,0,0,1,3,3,3,1,–,†,†,†,†,†,†,†
KIPP DC - WILL ACADEMY PCS,District of Columbia,110003100376,2,0,0,–,–,0,–,–,0,0,†,†,†,†,†
KIPP DC PCS - LEGACY COLLEGE PREPARATORY PCS,DISTRICT OF COLUMBIA,110003100523,1,0,0,–,–,0,†,†,†,†,†,†,†,†,†
KRAMER MS,District of Columbia,110003000143,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
LAFAYETTE ES,District of Columbia,110003000045,3,2,1,1,1,1,1,3,1,0,0,0,0,2,2
LANGDON ES,District of Columbia,110003000044,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
LANGLEY ES,District of Columbia,110003000445,0,0,0,–,–,1,1,1,0,†,†,†,†,†,†
LANGLEY JUNIOR HIGH SCHOOL,District of Columbia,110003000142,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0
LASALLE-BACKUS ES,District of Columbia,110003000042,0,0,0,–,–,0,1,3,0,0,0,0,0,0,0
LASHAWN DCPS NON PUBLIC,District of Columbia,110003000266,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†
LATIN AMERICAN MONTESSORI BILINGUAL PCS,District of Columbia,110003200247,0,0,0,1,1,1,2,2,0,0,1,†,†,†,†
LAWRENCE E. BOONE ES,District of Columbia,110003000161,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
LAYC CAREER ACADEMY PCS,District of Columbia,110009100467,†,†,†,†,†,†,†,†,0,†,†,†,†,†,†
LEARN DC PCS,DISTRICT OF COLUMBIA,110011700546,0,0,1,–,†,†,†,†,†,†,†,†,†,†,†
LECKIE EDUCATION CAMPUS,District of Columbia,110003000041,1,1,0,–,–,3,3,1,3,0,0,0,3,1,0
LEE MONTESSORI PCS - BROOKLAND,District of Columbia,110009300476,1,1,1,–,–,0,–,–,0,†,†,†,†,†,†
LEE MONTESSORI PCS - EAST END,DISTRICT OF COLUMBIA,110009300525,2,2,0,–,1,1,†,†,†,†,†,†,†,†,†
LEWIS ELEMENTARY SCHOOL,District of Columbia,110003000039,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0
LINCOLN MS,District of Columbia,110003000136,†,†,†,†,†,†,†,†,†,†,0,0,3,0,0
LORRAINE H. WHITLOCK ES,District of Columbia,110003000122,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
LOTUS SWSC HENDLEY,District of Columbia,110003000053,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
LUDLOW-TAYLOR ES,District of Columbia,110003000037,1,2,2,–,1,0,–,–,0,0,0,0,0,0,0
LUKE C. MOORE HS,District of Columbia,110003000198,0,0,0,–,–,0,–,–,0,0,0,1,0,0,0
M C  TERRELL ES,District of Columbia,110003000010,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0
MACARTHUR HS,DISTRICT OF COLUMBIA,110003000780,0,0,†,†,†,†,†,†,†,†,†,†,†,†,†
MACFARLAND MS,DISTRICT OF COLUMBIA,110003000511,1,2,2,1,–,0,–,–,†,†,†,†,†,†,†
MACFARLAND MS LINCOLN HILL CLUSTER,District of Columbia,110003000141,†,†,†,†,†,†,†,†,†,0,0,0,0,1,0
MALCOLM X ES AT GREEN,District of Columbia,110003000036,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
MAMIE D  LEE SCHOOL,District of Columbia,110003000090,†,†,†,†,†,†,†,†,0,0,0,0,0,0,1
MANN ES,District of Columbia,110003000035,0,0,0,–,–,1,1,1,0,0,0,0,1,0,0
MARIE REED ES,District of Columbia,110003000032,1,1,1,–,–,0,–,–,2,0,0,0,0,0,1
MARSHALL EC,District of Columbia,110003000188,†,†,†,†,†,†,†,†,†,0,0,1,0,0,0
MARY MCLEOD BETHUNE DAY ACADEMY PCS,District of Columbia,110004400275,1,0,0,–,3,3,4,1,0,0,0,†,†,†,†
MAURY ES,District of Columbia,110003000034,0,0,0,–,–,0,–,–,0,1,0,0,0,0,0
MAYA ANGELOU ACADEMY AT NEW BEGINNINGS FORMERLY OAK HILL,District of Columbia,110008700213,0,0,0,0,0,0,–,–,0,†,†,†,†,†,†
MAYA ANGELOU ACADEMY AT YOUTH SERVICES CENTER,DISTRICT OF COLUMBIA,110008700547,0,0,0,†,†,†,†,†,†,†,†,†,†,†,†
MAYA ANGELOU PCS  EVANS MIDDLE SCHOOL,District of Columbia,110001400392,†,†,†,†,†,†,†,†,†,0,†,†,†,†,†
MAYA ANGELOU PCS - ACADEMY AT DC JAIL,DISTRICT OF COLUMBIA,110001400543,†,†,0,†,†,†,†,†,†,†,†,†,†,†,†
MAYA ANGELOU PCS - HS,District of Columbia,110001400391,0,0,0,–,–,0,0,0,0,1,†,†,†,†,†
MAYA ANGELOU PCS YOUNG ADULT LEARNING CENTER,District of Columbia,110001400465,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MAYA ANGELOU SHAW CAMPUS PCS,District of Columbia,110001400228,†,†,†,†,†,†,†,†,†,0,0,0,†,†,†
MCGOGNEY ELEMENTARY SCHOOL                        ,District of Columbia,110003000007,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
MCKINLEY HIGH SCHOOL,District of Columbia,110003000077,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0
MCKINLEY MS,District of Columbia,110003000470,1,1,2,1,–,0,–,–,0,†,†,†,†,†,†
MCKINLEY TECHNOLOGY HS,District of Columbia,110003000267,1,0,0,–,2,2,4,4,2,3,0,†,†,†,†
MERIDIAN PCS,District of Columbia,110001500229,0,1,0,–,–,2,2,–,2,0,0,0,†,†,†
MERRITT EC,District of Columbia,110003000006,†,†,†,†,†,†,†,†,†,†,0,1,0,2,0
MEYER ES,District of Columbia,110003000005,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
MILITARY ROAD EARLY LEARNING CENTER,DISTRICT OF COLUMBIA,110003000540,1,0,–,–,†,†,†,†,†,†,†,†,†,†,†
MILLER JUNIOR HIGH SCHOOL,District of Columbia,110003000140,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0
MINER ES,District of Columbia,110003000004,0,0,0,–,1,0,–,–,0,0,0,0,0,0,0
MONTGOMERY ES,District of Columbia,110003000003,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
MONUMENT ACADEMY PCS,DISTRICT OF COLUMBIA,110010000500,0,0,0,–,–,0,–,–,†,†,†,†,†,†,†
MOTEN CENTER SPEC EDU AT MOTEN ES,District of Columbia,110003000262,†,†,†,†,†,†,†,†,†,†,0,0,†,†,†
MOTEN ES,District of Columbia,110003000002,0,0,0,–,–,0,1,–,0,0,0,0,0,0,0
MUNDO VERDE BILINGUAL PCS - CALLE OCHO,DISTRICT OF COLUMBIA,110008600527,2,2,1,1,1,1,†,†,†,†,†,†,†,†,†
MUNDO VERDE BILINGUAL PCS - J.F. COOK,District of Columbia,110008600444,0,0,0,–,–,0,–,–,0,†,†,†,†,†,†
MURCH ES,District of Columbia,110003000001,3,3,1,1,2,2,2,2,1,1,3,0,1,1,4
NALLE ES,District of Columbia,110003000163,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
NATIONAL COLLEGIATE PREPARATORY PCHS,District of Columbia,110007900424,†,†,†,†,†,0,–,–,0,0,†,†,†,†,†
NEW BEGINNINGS FORMERLY OAK HILL,District of Columbia,110007800213,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NEW SCHOOL FOR ENTERPRISE AND DEV PCS             ,District of Columbia,110003800256,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†
NIA COMMUNITY PCS,District of Columbia,110007000332,†,†,†,†,†,†,†,†,†,0,0,†,†,†,†
NOYES ES,District of Columbia,110003000164,1,0,0,–,1,1,1,1,0,0,0,0,0,0,0
OAKHILL                                           ,District of Columbia,110003000213,†,†,†,†,†,†,†,†,†,†,0,0,0,†,†
OPTIONS PCS,District of Columbia,110001800232,†,†,†,†,†,†,†,†,0,0,0,0,†,†,†
OYSTER-ADAMS BILINGUAL SCHOOL,District of Columbia,110003000160,0,0,0,–,–,0,–,–,0,2,1,1,1,0,1
PACE SPECIAL EDUCATION,District of Columbia,110003000202,†,†,†,†,†,†,†,†,†,†,†,†,0,0,0
PARK VIEW ES,District of Columbia,110003000159,†,†,†,†,†,†,†,†,†,†,2,0,0,0,0
PATTERSON ES,District of Columbia,110003000158,0,0,0,–,–,0,1,–,0,0,0,0,0,0,0
PAUL JUNIOR HIGH SCHOOL,District of Columbia,110003000091,†,†,†,†,†,†,†,†,†,†,†,†,0,0,0
PAUL PCS - INTERNATIONAL HS,District of Columbia,110003900477,0,0,0,–,–,0,–,2,56,†,†,†,†,†,†
PAUL PCS - MS,District of Columbia,110003900257,0,0,0,–,–,0,–,–,44,0,0,0,†,†,†
PAYNE ES,District of Columbia,110003000157,0,0,0,1,1,0,–,–,0,1,0,0,0,0,0
PEABODY ES (CAPITOL HILL CLUSTER),District of Columbia,110003000156,1,0,2,3,–,0,–,–,0,0,0,2,0,0,0
PERRY STREET PREPARATORY PCS,District of Columbia,110001100225,2,3,3,3,3,4,3,1,2,0,0,0,†,†,†
PETWORTH ELEMENTARY SCHOOL,District of Columbia,110003000127,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0
PHELPS ARCHITECTURE CONSTRUCTION AND ENGINEERING HS,District of Columbia,110003000407,0,0,0,–,–,0,–,–,0,0,†,†,†,†,†
PHELPS CAREER DIVERSION PROGRA,District of Columbia,110003000040,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†
PHELPS CAREER HIGH SCHOOL                         ,District of Columbia,110003000014,†,†,†,†,†,†,†,†,†,†,†,†,0,0,0
PLUMMER ES,District of Columbia,110003000126,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
POTOMAC PREPARATORY PCS,District of Columbia,110006000310,†,†,†,†,†,†,†,†,0,0,0,†,†,†,†
POWELL ES,District of Columbia,110003000125,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
PRE K INCENTIVE PROGRAM,District of Columbia,110003000297,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
PRE-ENGINEERING SWSC DUNBAR                       ,District of Columbia,110003000211,†,†,†,†,†,†,†,†,†,†,0,0,0,†,†
PROSPECT LC,District of Columbia,110003000092,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0
RABAUT JUNIOR HIGH SCHOOL,District of Columbia,110003000009,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0
RANDLE HIGHLANDS ES,District of Columbia,110003000029,3,3,0,–,–,0,–,–,0,0,1,0,0,0,0
RAYMOND ES,District of Columbia,110003000033,0,0,0,–,–,0,–,–,0,0,0,0,0,1,0
RESIDENTIAL SCHOOLS,District of Columbia,110003000265,†,†,†,†,†,†,†,†,†,†,0,0,†,†,†
RICHARD WRIGHT PCS FOR JOURNALISM AND MEDIA ARTS,District of Columbia,110008200441,0,0,0,–,–,0,–,–,0,†,†,†,†,†,†
RICHARDSON ELEMENTARY SCHOOL,District of Columbia,110003000031,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0
RIVER TERRACE EDUCATION CAMPUS,DISTRICT OF COLUMBIA,110003000506,1,0,1,2,1,0,–,–,†,†,†,†,†,†,†
RIVER TERRACE ES,District of Columbia,110003000028,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0
ROBESON PAUL                                     ,District of Columbia,110003000197,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
ROCKETSHIP PCS - INFINITY COMMUNITY PREP,DISTRICT OF COLUMBIA,110010600534,2,3,3,3,3,†,†,†,†,†,†,†,†,†,†
ROCKETSHIP PCS - LEGACY PREP,DISTRICT OF COLUMBIA,110010600514,1,0,1,2,–,0,–,†,†,†,†,†,†,†,†
ROCKETSHIP PCS - RISE ACADEMY,DISTRICT OF COLUMBIA,110010600509,0,0,1,2,3,3,2,2,†,†,†,†,†,†,†
RON BROWN COLLEGE PREPARATORY HS,DISTRICT OF COLUMBIA,110003000512,0,0,0,–,–,0,–,–,†,†,†,†,†,†,†
RON BROWN MS,District of Columbia,110003000021,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0
ROOSEVELT HS,District of Columbia,110003000008,1,0,0,–,–,0,–,1,1,1,0,0,2,0,2
ROOTS PCS,District of Columbia,110002000234,0,0,0,–,–,0,–,–,0,0,0,0,†,†,†
ROOTS PCS NORTH CAPITOL STREET CAMPUS,District of Columbia,110002000436,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ROSE SCHOOL                                       ,District of Columbia,110003000195,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
ROSS ES,District of Columbia,110003000027,0,0,0,–,–,0,–,–,0,0,2,2,2,0,3
RUDOLPH ES,District of Columbia,110003000026,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
SASHA BRUCE PUBLIC CHARTER SCHOOL                 ,District of Columbia,110003300248,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†
SAVOY ES,District of Columbia,110003000025,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
SCHOOL FOR ARTS IN LEARNING MIDDLE SCHOOL PCS,District of Columbia,110002100347,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
SCHOOL FOR ARTS IN LEARNING PCS SAIL,District of Columbia,110002100235,†,†,†,†,†,†,†,†,†,2,0,0,†,†,†
SCHOOL WINTHIN SCHOOL AT PEABODY,District of Columbia,110003000320,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
SCHOOL WITHOUT WALLS HS,District of Columbia,110003000131,1,0,0,–,–,1,1,1,0,3,1,0,1,0,0
SCHOOL-WITHIN-SCHOOL AT GODING,District of Columbia,110003000466,0,0,0,–,–,0,–,–,0,†,†,†,†,†,†
SE ACADEMY OF SCHOLASTIC EXCELLENCE PCS           ,District of Columbia,110002300237,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†
SEATON ES,District of Columbia,110003000024,1,1,0,–,–,0,–,–,1,0,0,0,0,0,0
SELA PCS,District of Columbia,110008800461,0,0,0,1,2,2,1,–,0,†,†,†,†,†,†
SENATE PAGE,District of Columbia,110003000083,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0
SEPTIMA CLARK PCS,District of Columbia,110006600318,†,†,†,†,†,†,†,†,†,0,0,†,†,†,†
SHADD ELEMENTARY SCHOOL                           ,District of Columbia,110003000023,†,†,†,†,†,†,†,†,†,†,†,0,0,0,0
SHAED ES,District of Columbia,110003000022,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0
SHARPE HEALTH SCHOOL,District of Columbia,110003000089,†,†,†,†,†,†,†,†,0,0,0,0,0,0,1
SHAW MS AT GARNET PATTERSON,District of Columbia,110003000020,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0
SHEPHERD ES,District of Columbia,110003000030,0,1,1,1,3,2,–,1,0,0,1,0,0,0,0
SHINING STARS MONTESSORI ACADEMY PCS,District of Columbia,110008100442,3,1,4,1,–,1,–,1,1,†,†,†,†,†,†
SHIRLEY CHISHOLM ES,District of Columbia,110003000072,2,1,2,3,4,5,2,4,0,0,0,0,0,0,0
SIMON ES,District of Columbia,110003000054,0,0,0,–,–,0,–,–,0,0,0,1,1,0,0
SLATER ELEMENTARY SCHOOL,District of Columbia,110003000189,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0
SLOWE ES,District of Columbia,110003000052,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
SMOTHERS ES,District of Columbia,110003000064,0,1,1,1,1,1,1,–,1,0,0,0,0,0,0
SOCIAL JUSTICE PCS,DISTRICT OF COLUMBIA,110011500539,1,0,0,–,–,†,†,†,†,†,†,†,†,†,†
SOMERSET PREPARATORY ACADEMY PCS,District of Columbia,110008900462,†,†,†,†,†,†,–,–,0,†,†,†,†,†,†
SOUSA MS,District of Columbia,110003000019,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
SPINGARN CENTER SPEC ED SPINGARN SHS,District of Columbia,110003000242,†,†,†,†,†,†,†,†,†,†,0,0,†,†,†
SPINGARN SHS,District of Columbia,110003000130,†,†,†,†,†,†,†,†,†,0,1,0,0,0,0
SPINGARN STAY,District of Columbia,110003000200,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0
ST. COLETTA SPECIAL EDUCATION PCS,District of Columbia,110006400367,0,0,0,0,0,1,0,0,0,0,0,†,†,†,†
ST. ELIZABETH`S,District of Columbia,110003000206,†,†,†,†,†,†,†,†,†,†,†,†,0,0,0
STANTON ES,District of Columbia,110003000013,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
STATESMEN COLLEGE PREPARATORY  ACADEMY FOR BOYS PCS,DISTRICT OF COLUMBIA,110011000518,0,0,0,–,–,0,–,†,†,†,†,†,†,†,†
STEVENS ES,District of Columbia,110003000051,†,†,†,†,†,†,†,†,†,†,0,1,0,0,1
STODDERT ES,District of Columbia,110003000050,1,0,0,–,–,0,–,–,0,0,1,0,0,0,1
STUART-HOBSON MS (CAPITOL HILL CLUSTER),District of Columbia,110003000191,1,1,1,1,–,0,–,–,0,0,0,1,0,0,0
SUSTAINABLE FUTURES PCS,DISTRICT OF COLUMBIA,110010700513,†,†,†,†,†,†,†,0,†,†,†,†,†,†,†
SYPHAX ELEMENTARY SCHOOL,District of Columbia,110003000012,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0
TAFT CENTER,District of Columbia,110003000214,†,†,†,†,†,†,†,†,†,†,0,0,†,†,†
TAFT JUNIOR HIGH SCHOOL,District of Columbia,110003000088,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0
TAKOMA ES,District of Columbia,110003000011,0,0,0,–,–,0,–,–,0,0,2,0,0,0,0
TERRELL CENTER                                    ,District of Columbia,110003000243,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†
TERRELL JUNIOR HIGH SCHOOL                        ,District of Columbia,110003000087,†,†,†,†,†,†,†,†,†,†,†,0,0,0,0
THADDEUS STEVENS EARLY LEARNING CENTER,DISTRICT OF COLUMBIA,110003000531,0,0,1,–,1,†,†,†,†,†,†,†,†,†,†
THE CHILDREN'S GUILD DC PCS,DISTRICT OF COLUMBIA,110010100499,2,1,0,–,1,1,1,–,†,†,†,†,†,†,†
THE NEXT STEP EL PROXIMO PASO PCS,District of Columbia,110001700231,†,†,†,†,†,†,†,†,1,0,0,0,†,†,†
THE NEXT STEP PCS-ADULT,District of Columbia,110001700454,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
THE SEED PCS OF WASHINGTON DC,District of Columbia,110002200236,1,0,1,–,–,0,–,–,1,0,0,0,†,†,†
THE SOJOURNER TRUTH SCHOOL PCS,DISTRICT OF COLUMBIA,110011100535,0,0,0,–,–,†,†,†,†,†,†,†,†,†,†
THEA BOWMAN PREPARATORY ACADEMY PCS,District of Columbia,110007500406,†,†,†,†,†,†,†,†,†,0,†,†,†,†,†
THOMAS ES,District of Columbia,110003000049,0,0,0,–,–,0,–,1,0,0,0,0,0,0,0
THOMSON ES,District of Columbia,110003000076,5,2,2,5,2,3,2,3,2,0,0,0,0,0,0
