ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,School ID (12-digit) - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2024-25,American Indian/Alaska Native Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2022-23,American Indian/Alaska Native Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2020-21,American Indian/Alaska Native Students [Public School] 2019-20,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2002-03,American Indian/Alaska Native Students [Public School] 1998-99,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1990-91
BRIYA PCS,District of Columbia,110001600333,†,†,†,†,†,†,†,†,0,0,0,†,†,†,†
BROOKLAND MS,DISTRICT OF COLUMBIA,110003000494,0,0,0,–,1,1,–,–,†,†,†,†,†,†,†
BROWNE CENTER SPEC ED BROWNE JHS,District of Columbia,110003000260,†,†,†,†,†,†,†,†,†,†,0,0,†,†,†
BROWNE EDUCATION CAMPUS,District of Columbia,110003000152,0,0,0,–,–,1,–,–,0,0,0,0,0,0,0
BRUCE-MONROE ES AT PARK VIEW,District of Columbia,110003000110,0,0,1,2,2,2,2,2,0,1,0,0,0,1,0
BUCHANAN LEARNING CENTER,District of Columbia,110003000193,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0
BUNKER HILL ES,District of Columbia,110003000111,0,0,0,–,–,0,–,–,0,1,0,0,0,0,0
BUNKER HILL ES,District of Columbia,110003000108,†,†,†,†,†,†,†,†,†,†,0,1,0,0,0
BURDICK CAREER CENTER,District of Columbia,110003000057,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0
BURROUGHS ES,District of Columbia,110003000107,0,0,0,–,–,0,–,–,0,0,0,0,0,0,1
BURRVILLE ES,District of Columbia,110003000106,0,0,0,–,–,0,–,2,0,0,0,0,0,0,0
BUSINESS & FIN. SWSC WOODSON                      ,District of Columbia,110003000132,†,†,†,†,†,†,†,†,†,†,0,0,0,†,†
C.W. HARRIS ES,District of Columbia,110003000185,0,0,1,1,1,0,–,–,0,0,0,0,0,0,0
CAPITAL CITY  UPPER PCS,District of Columbia,110003500414,†,†,†,†,†,†,†,†,†,0,†,†,†,†,†
CAPITAL CITY PCS - HS,District of Columbia,110003500475,0,0,0,–,–,0,–,1,0,†,†,†,†,†,†
CAPITAL CITY PCS - LOWER SCHOOL,District of Columbia,110003500253,2,0,0,–,–,0,–,–,0,0,0,0,†,†,†
CAPITAL CITY PCS - MS,District of Columbia,110003500464,0,0,0,–,–,0,–,–,2,†,†,†,†,†,†
CAPITAL VILLAGE PCS,DISTRICT OF COLUMBIA,110011200536,0,0,0,–,–,†,†,†,†,†,†,†,†,†,†
CAPITOL HILL MONTESSORI SCHOOL AT LOGAN,District of Columbia,110003000446,1,0,0,–,–,0,1,1,0,†,†,†,†,†,†
CARDOZO EDUCATION CAMPUS,District of Columbia,110003000082,1,2,3,4,–,1,–,–,0,0,0,2,0,2,0
CARLOS ROSARIO INTERNATIONAL PCS,District of Columbia,110000400218,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†
CARLOS ROSARIO INTERNATIONAL PCS S STREET CAMPUS,District of Columbia,110000400420,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CEDAR TREE ACADEMY PCS,District of Columbia,110002900245,0,3,1,1,1,0,–,–,0,0,0,0,†,†,†
CENTER CITY BRENTWOOD CAMPUS PCS,District of Columbia,110007300394,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTER CITY PCS - BRIGHTWOOD,District of Columbia,110007300400,0,0,0,–,1,1,–,2,19,0,†,†,†,†,†
CENTER CITY PCS - CAPITOL HILL,District of Columbia,110007300393,1,1,0,–,1,0,–,1,0,2,†,†,†,†,†
CENTER CITY PCS - CONGRESS HEIGHTS,District of Columbia,110007300412,1,2,1,–,–,0,–,–,0,0,†,†,†,†,†
CENTER CITY PCS - PETWORTH,District of Columbia,110007300395,0,0,0,1,–,0,–,1,0,0,†,†,†,†,†
CENTER CITY PCS - SHAW,District of Columbia,110007300404,2,1,1,1,1,1,1,2,16,0,†,†,†,†,†
CENTER CITY PCS - TRINIDAD,District of Columbia,110007300403,0,0,0,–,–,0,–,–,0,1,†,†,†,†,†
CESAR CHAVEZ PCS FOR PUBLIC POLICY - CAPITOL HILL,District of Columbia,110000500219,†,†,†,†,†,†,–,–,0,2,0,5,†,†,†
CESAR CHAVEZ PCS FOR PUBLIC POLICY - CHAVEZ PREP,District of Columbia,110000500377,†,†,†,†,†,†,2,–,0,0,†,†,†,†,†
CESAR CHAVEZ PCS FOR PUBLIC POLICY - PARKSIDE MS,District of Columbia,110000500328,†,†,†,†,†,0,–,1,0,0,0,†,†,†,†
CESAR CHAVEZ PUBLIC CHARTER SCHOOLS FOR PUBLIC POLICY,District of Columbia,110000500456,1,1,1,–,–,0,–,–,0,†,†,†,†,†,†
CHAMBERLAIN CAREER CENTER,District of Columbia,110003000017,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0
CHAMBERLAIN CAREER CENTER,District of Columbia,110003000208,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†
CHILD AND FAMILY SERVICES REGULAR ED,District of Columbia,110003000271,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
CHILDREN STUDIO SCHOOL PCS,District of Columbia,110000600220,†,†,†,†,†,†,†,†,†,†,1,0,†,†,†
CHOICE ACADEMY AT WASH MET,District of Columbia,110003000418,†,†,†,†,†,†,†,†,0,0,†,†,†,†,†
CHOICE ACADEMY MS JHS AT TAFT,District of Columbia,110003000251,†,†,†,†,†,†,†,†,†,†,0,0,†,†,†
CHOICE ACADEMY SHS AT DOUGLASS,District of Columbia,110003000259,†,†,†,†,†,†,†,†,†,†,0,0,†,†,†
CITY ARTS & PREP PCS,District of Columbia,110005300455,†,†,†,†,†,†,–,–,2,†,†,†,†,†,†
CITY COLLEGIATE PCS,District of Columbia,110006100346,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
CITY LIGHTS PCS,District of Columbia,110005600306,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
CLARK ES,District of Columbia,110003000104,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
CLEVELAND ES,District of Columbia,110003000103,0,1,0,–,–,0,–,–,0,0,0,0,0,0,0
COLUMBIA HEIGHTS EDUCATION CAMPUS,District of Columbia,110003000396,0,0,0,–,–,0,–,–,0,0,†,†,†,†,†
