ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2006-07,Total Students All Grades (Excludes AE) [Public School] 2002-03,Total Students All Grades (Excludes AE) [Public School] 1998-99,Total Students All Grades (Excludes AE) [Public School] 1994-95,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1986-87,Longitude [Public School] 2024-25,Longitude [Public School] 2023-24,Longitude [Public School] 2022-23,Longitude [Public School] 2021-22,Longitude [Public School] 2020-21,Longitude [Public School] 2019-20,Longitude [Public School] 2018-19,Longitude [Public School] 2017-18,Longitude [Public School] 2014-15,Longitude [Public School] 2010-11,Longitude [Public School] 2006-07,Longitude [Public School] 2002-03,Latitude [Public School] 2024-25,Latitude [Public School] 2023-24,Latitude [Public School] 2022-23,Latitude [Public School] 2021-22,Latitude [Public School] 2020-21,Latitude [Public School] 2019-20,Latitude [Public School] 2018-19,Latitude [Public School] 2017-18,Latitude [Public School] 2014-15,Latitude [Public School] 2010-11,Latitude [Public School] 2006-07,Latitude [Public School] 2002-03,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2014-15,Free Lunch Eligible [Public School] 2010-11,Free Lunch Eligible [Public School] 2006-07,Free Lunch Eligible [Public School] 2002-03,Free Lunch Eligible [Public School] 1998-99,Free Lunch Eligible [Public School] 1994-95,Free Lunch Eligible [Public School] 1990-91
BRIDGES PCS,District of Columbia,110005500305,365,365,380,341,396,408,412,399,272,86,71,†,†,†,†,†,-77.007484,-77.007484,-77.007484,-77.007484,-77.007484,-77.007484,-77.007484,-77.007484,-77.028635,-77.028618,-77.029300,†,38.952962,38.952962,38.952962,38.952962,38.952962,38.952962,38.952962,38.952962,38.940593,38.940759,38.940700,†,–,–,–,–,–,–,–,–,144,37,–,†,†,†,†
BRIGHTWOOD ES,District of Columbia,110003000112,646,603,591,597,633,713,757,737,639,554,376,503,487,557,540,500,-77.030166,-77.030166,-77.030166,-77.030166,-77.030166,-77.030166,-77.030166,-77.030166,-77.030166,-77.030417,-77.029730,-77.029732,38.960625,38.960625,38.960625,38.960625,38.960625,38.960625,38.960625,38.960625,38.960625,38.960161,38.960120,38.960121,–,–,–,–,–,–,–,–,639,451,314,324,–,421,121
BRIYA PCS,District of Columbia,110001600333,†,†,†,†,†,†,†,†,46,25,208,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.039753,-77.040067,-77.039980,†,†,†,†,†,†,†,†,†,38.921478,38.921012,38.920740,†,†,†,†,†,†,†,†,†,46,0,–,†,†,†,†
BROOKLAND MS,DISTRICT OF COLUMBIA,110003000494,381,370,357,327,345,360,270,238,†,†,†,†,†,†,†,†,-76.991161,-76.991161,-76.991161,-76.991161,-76.991161,-76.991161,-76.991161,-76.991161,-76.990548,†,†,†,38.938412,38.938412,38.938412,38.938412,38.938412,38.938412,38.938412,38.938412,38.938536,†,†,†,–,–,–,–,–,–,–,–,†,†,†,†,†,†,†
BROWNE CENTER SPEC ED BROWNE JHS,District of Columbia,110003000260,†,†,†,†,†,†,†,†,†,†,58,76,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.978250,-76.978247,†,†,†,†,†,†,†,†,†,†,38.892100,38.892098,†,†,†,†,†,†,†,†,†,†,–,63,†,†,†
BROWNE EDUCATION CAMPUS,District of Columbia,110003000152,457,442,438,414,398,433,371,325,353,420,335,459,499,522,694,631,-76.970808,-76.970808,-76.970808,-76.970808,-76.970808,-76.970808,-76.970808,-76.970808,-76.970808,-76.970284,-76.972200,-76.972201,38.902592,38.902592,38.902592,38.902592,38.902592,38.902592,38.902592,38.902592,38.902592,38.901966,38.900780,38.900783,–,–,–,–,–,–,–,–,353,355,320,317,–,265,154
BRUCE-MONROE ES AT PARK VIEW,District of Columbia,110003000110,448,436,433,425,469,473,451,473,465,421,319,370,492,554,474,445,-77.021334,-77.021334,-77.021334,-77.021334,-77.021334,-77.021334,-77.021334,-77.021334,-77.020857,-77.020827,-77.023230,-77.023226,38.934397,38.934397,38.934397,38.934397,38.934397,38.934397,38.934397,38.934397,38.934065,38.933844,38.928230,38.928233,–,–,–,–,–,–,–,–,465,356,236,262,–,472,315
BRYAN ELEMENTARY SCHOOL,District of Columbia,110003000109,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,222,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BUCHANAN LEARNING CENTER,District of Columbia,110003000193,†,†,†,†,†,†,†,†,†,†,†,†,†,†,104,101,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0
BUNDY SCHOOL,District of Columbia,110003000124,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,117,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BUNKER HILL ES,District of Columbia,110003000111,219,206,206,188,209,230,221,200,225,347,258,358,363,400,447,484,-76.985009,-76.985009,-76.985009,-76.985009,-76.985009,-76.985009,-76.985009,-76.985009,-76.984861,-76.984938,-76.991890,-76.991886,38.942033,38.942033,38.942033,38.942033,38.942033,38.942033,38.942033,38.942033,38.941680,38.942562,38.937460,38.937463,–,–,–,–,–,–,–,–,225,344,129,169,–,198,103
BUNKER HILL ES,District of Columbia,110003000108,†,†,†,†,†,†,†,†,†,†,242,421,438,489,460,445,†,†,†,†,†,†,†,†,†,†,-76.985600,-76.985595,†,†,†,†,†,†,†,†,†,†,38.942470,38.942474,†,†,†,†,†,†,†,†,†,†,105,116,–,149,44
BURDICK CAREER CENTER,District of Columbia,110003000057,†,†,†,†,†,†,†,†,†,†,†,†,†,†,144,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0
BURROUGHS ES,District of Columbia,110003000107,331,297,258,241,267,285,273,282,297,335,266,265,382,378,504,436,-76.978472,-76.978472,-76.978472,-76.978472,-76.978472,-76.978472,-76.978472,-76.978472,-76.978472,-76.978485,-76.979260,-76.979255,38.933576,38.933576,38.933576,38.933576,38.933576,38.933576,38.933576,38.933576,38.933576,38.933125,38.933210,38.933206,–,–,–,–,–,–,–,–,297,265,169,146,–,229,195
BURRVILLE ES,District of Columbia,110003000106,232,236,278,256,270,311,295,300,360,349,414,325,406,459,455,322,-76.923753,-76.923753,-76.923753,-76.923753,-76.923753,-76.923753,-76.923753,-76.923753,-76.923753,-76.925017,-76.924970,-76.924969,38.900411,38.900411,38.900411,38.900411,38.900411,38.900411,38.900411,38.900411,38.900411,38.899907,38.899900,38.899899,–,–,–,–,–,–,–,–,360,231,269,226,–,311,216
BUSINESS & FIN. SWSC WOODSON                      ,District of Columbia,110003000132,†,†,†,†,†,†,†,†,†,†,148,202,246,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.921870,-76.921870,†,†,†,†,†,†,†,†,†,†,38.895890,38.895894,†,†,†,†,†,†,†,†,†,†,–,93,–,†,†
C.W. HARRIS ES,District of Columbia,110003000185,251,261,249,231,233,235,232,278,291,203,352,533,583,584,431,458,-76.926113,-76.926113,-76.926113,-76.926113,-76.926113,-76.926113,-76.926113,-76.926113,-76.926113,-76.925084,-76.926490,-76.926489,38.883593,38.883593,38.883593,38.883593,38.883593,38.883593,38.883593,38.883593,38.883593,38.893870,38.883680,38.883675,–,–,–,–,–,–,–,–,291,192,289,407,–,553,208
CAPITAL CITY  UPPER PCS,District of Columbia,110003500414,†,†,†,†,†,†,†,†,†,294,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.032481,†,†,†,†,†,†,†,†,†,†,†,38.927870,†,†,†,†,†,†,†,†,†,†,†,258,†,†,†,†,†
CAPITAL CITY PCS - HS,District of Columbia,110003500475,348,350,342,347,352,336,335,335,329,†,†,†,†,†,†,†,-77.012930,-77.012930,-77.012930,-77.012930,-77.012930,-77.012930,-77.012930,-77.012930,-77.012281,†,†,†,38.962224,38.962224,38.962224,38.962224,38.962224,38.962224,38.962224,38.962224,38.961900,†,†,†,–,–,–,–,–,–,–,–,205,†,†,†,†,†,†
CAPITAL CITY PCS - LOWER SCHOOL,District of Columbia,110003500253,323,326,330,323,324,323,323,324,322,244,57,181,†,†,†,†,-77.012930,-77.012930,-77.012930,-77.012930,-77.012930,-77.012930,-77.012930,-77.012930,-77.012281,-77.036083,-77.032380,-77.032381,38.962224,38.962224,38.962224,38.962224,38.962224,38.962224,38.962224,38.962224,38.961900,38.928485,38.927920,38.927915,–,–,–,–,–,–,–,–,126,72,36,69,†,†,†
CAPITAL CITY PCS - MS,District of Columbia,110003500464,344,336,332,332,332,333,335,334,320,†,†,†,†,†,†,†,-77.012930,-77.012930,-77.012930,-77.012930,-77.012930,-77.012930,-77.012930,-77.012930,-77.012281,†,†,†,38.962224,38.962224,38.962224,38.962224,38.962224,38.962224,38.962224,38.962224,38.961900,†,†,†,–,–,–,–,–,–,–,–,170,†,†,†,†,†,†
CAPITAL VILLAGE PCS,DISTRICT OF COLUMBIA,110011200536,91,103,108,89,51,†,†,†,†,†,†,†,†,†,†,†,-76.995861,-76.995861,-76.995861,-76.995861,-76.995861,†,†,†,†,†,†,†,38.923650,38.923650,38.923650,38.923650,38.923650,†,†,†,†,†,†,†,–,–,–,–,–,†,†,†,†,†,†,†,†,†,†
CAPITOL HILL MONTESSORI SCHOOL AT LOGAN,District of Columbia,110003000446,503,488,424,383,354,325,362,365,310,†,†,†,†,†,†,†,-77.002844,-77.002844,-77.002844,-77.002844,-77.026675,-77.026675,-77.002590,-77.002590,-77.002771,†,†,†,38.898577,38.898577,38.898577,38.898577,38.923024,38.923024,38.898437,38.898437,38.898300,†,†,†,–,–,–,–,–,–,–,–,307,†,†,†,†,†,†
CARDOZO EDUCATION CAMPUS,District of Columbia,110003000082,710,706,639,624,621,725,746,788,781,607,874,749,779,1087,858,1089,-77.028371,-77.028371,-77.028371,-77.028371,-77.028371,-77.028371,-77.028371,-77.028371,-77.028153,-77.031410,-77.029760,-77.029756,38.922150,38.922150,38.922150,38.922150,38.922150,38.922150,38.922150,38.922150,38.922403,38.922391,38.922340,38.922338,–,–,–,–,–,–,–,–,781,430,514,386,–,598,86
CARLOS ROSARIO INTERNATIONAL PCS,District of Columbia,110000400218,†,†,†,†,†,†,†,†,†,†,†,835,†,†,†,†,†,†,†,†,†,†,†,†,-77.027784,-77.027094,-77.039720,†,†,†,†,†,†,†,†,†,38.926495,38.926663,38.920740,†,†,†,†,†,†,†,†,†,9,†,†,–,†,†,†
CARLOS ROSARIO INTERNATIONAL PCS S STREET CAMPUS,District of Columbia,110000400420,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.035539,†,†,†,†,†,†,†,†,†,†,†,38.927085,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CARVER ELEMENTARY SCHOOL,District of Columbia,110003000105,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,160,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CEDAR TREE ACADEMY PCS,District of Columbia,110002900245,399,428,463,482,428,362,359,381,358,536,552,536,†,†,†,†,-76.999196,-76.999196,-76.999196,-76.999196,-76.999196,-76.999196,-76.999196,-76.999196,-76.999015,-76.998671,-76.997380,-76.997379,38.864203,38.864203,38.864203,38.864203,38.864203,38.864203,38.864203,38.864203,38.864155,38.864434,38.863800,38.863804,–,–,–,–,–,–,–,–,358,383,193,264,†,†,†
CENTER CITY BRENTWOOD CAMPUS PCS,District of Columbia,110007300394,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.975903,†,†,†,†,†,†,†,†,†,†,†,38.929085,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTER CITY PCS - BRIGHTWOOD,District of Columbia,110007300400,269,261,260,258,257,258,258,263,248,209,†,†,†,†,†,†,-77.028220,-77.028220,-77.028220,-77.028220,-77.028220,-77.028220,-77.028220,-77.028220,-77.028241,-77.027872,†,†,38.963159,38.963159,38.963159,38.963159,38.963159,38.963159,38.963159,38.963159,38.962840,38.962850,†,†,–,–,–,–,–,–,–,–,221,173,†,†,†,†,†
CENTER CITY PCS - CAPITOL HILL,District of Columbia,110007300393,257,215,249,238,261,260,262,260,239,216,†,†,†,†,†,†,-76.983233,-76.983233,-76.983233,-76.983233,-76.983233,-76.983233,-76.983233,-76.983233,-76.983440,-76.983515,†,†,38.889365,38.889365,38.889365,38.889365,38.889365,38.889365,38.889365,38.889365,38.889792,38.889740,†,†,–,–,–,–,–,–,–,–,211,131,†,†,†,†,†
CENTER CITY PCS - CONGRESS HEIGHTS,District of Columbia,110007300412,251,243,249,240,248,252,250,256,257,199,†,†,†,†,†,†,-77.004521,-77.004521,-77.004521,-77.004521,-77.004521,-77.004521,-77.004521,-77.004521,-77.004411,-77.004259,†,†,38.841559,38.841559,38.841559,38.841559,38.841559,38.841559,38.841559,38.841559,38.841797,38.841724,†,†,–,–,–,–,–,–,–,–,257,163,†,†,†,†,†
CENTER CITY PCS - PETWORTH,District of Columbia,110007300395,255,242,244,245,254,255,250,252,262,227,†,†,†,†,†,†,-77.020908,-77.020908,-77.020908,-77.020908,-77.020908,-77.020908,-77.020908,-77.020908,-77.020003,-77.019353,†,†,38.943726,38.943726,38.943726,38.943726,38.943726,38.943726,38.943726,38.943726,38.944130,38.944117,†,†,–,–,–,–,–,–,–,–,232,146,†,†,†,†,†
CENTER CITY PCS - SHAW,District of Columbia,110007300404,202,199,217,213,215,231,230,236,241,221,†,†,†,†,†,†,-77.022494,-77.022494,-77.022494,-77.022494,-77.022494,-77.022494,-77.022494,-77.022494,-77.022591,-77.022658,†,†,38.907478,38.907478,38.907478,38.907478,38.907478,38.907478,38.907478,38.907478,38.907530,38.907234,†,†,–,–,–,–,–,–,–,–,211,158,†,†,†,†,†
CENTER CITY PCS - TRINIDAD,District of Columbia,110007300403,212,200,189,193,215,219,207,202,236,228,†,†,†,†,†,†,-76.991158,-76.991158,-76.991158,-76.991158,-76.991158,-76.991158,-76.991158,-76.991158,-76.990791,-76.990527,†,†,38.905293,38.905293,38.905293,38.905293,38.905293,38.905293,38.905293,38.905293,38.905020,38.905266,†,†,–,–,–,–,–,–,–,–,236,190,†,†,†,†,†
CESAR CHAVEZ PCS FOR PUBLIC POLICY - CAPITOL HILL,District of Columbia,110000500219,†,†,†,†,†,†,238,259,358,411,1135,252,†,†,†,†,†,†,†,†,†,†,-76.990612,-76.990612,-76.990612,-76.990227,-77.030720,-77.030716,†,†,†,†,†,†,38.880683,38.880683,38.880683,38.880738,38.920210,38.920212,†,†,†,†,†,†,–,–,314,247,618,162,†,†,†
CESAR CHAVEZ PCS FOR PUBLIC POLICY - CHAVEZ PREP,District of Columbia,110000500377,†,†,†,†,†,†,235,294,331,302,†,†,†,†,†,†,†,†,†,†,†,†,-77.025601,-77.025601,-77.025601,-77.036526,†,†,†,†,†,†,†,†,38.929580,38.929580,38.929580,38.930675,†,†,†,†,†,†,†,†,–,–,319,271,†,†,†,†,†
CESAR CHAVEZ PCS FOR PUBLIC POLICY - PARKSIDE MS,District of Columbia,110000500328,†,†,†,†,†,60,133,257,303,713,0,†,†,†,†,†,†,†,†,†,†,-76.949057,-76.949057,-76.949057,-76.949057,-76.947400,-76.947360,†,†,†,†,†,†,38.901338,38.901338,38.901338,38.901338,38.900700,38.900700,†,†,†,†,†,†,–,–,–,303,485,†,†,†,†,†
CESAR CHAVEZ PUBLIC CHARTER SCHOOLS FOR PUBLIC POLICY,District of Columbia,110000500456,367,399,401,365,374,369,350,367,356,†,†,†,†,†,†,†,-76.949057,-76.949057,-76.949057,-76.949057,-76.949057,-76.949057,-76.949057,-76.949057,-76.949057,†,†,†,38.901338,38.901338,38.901338,38.901338,38.901338,38.901338,38.901338,38.901338,38.901338,†,†,†,–,–,–,–,–,–,–,–,356,†,†,†,†,†,†
CHAMBERLAIN CAREER CENTER,District of Columbia,110003000017,†,†,†,†,†,†,†,†,†,†,†,†,†,†,22,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0
CHAMBERLAIN CAREER CENTER,District of Columbia,110003000208,†,†,†,†,†,†,†,†,†,†,†,†,†,451,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,61,†
CHILD AND FAMILY SERVICES REGULAR ED,District of Columbia,110003000271,†,†,†,†,†,†,†,†,†,†,310,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.006351,†,-77.008950,†,†,†,†,†,†,†,†,†,38.906070,†,38.900480,†,†,†,†,†,†,†,†,†,0,†,0,†,†,†,†
CHILDREN STUDIO SCHOOL PCS,District of Columbia,110000600220,†,†,†,†,†,†,†,†,†,†,83,115,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.029670,-77.029672,†,†,†,†,†,†,†,†,†,†,38.918210,38.918206,†,†,†,†,†,†,†,†,†,†,61,58,†,†,†
CHOICE ACADEMY AT WASH MET,District of Columbia,110003000418,†,†,†,†,†,†,†,†,5,28,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.006578,-76.988210,†,†,†,†,†,†,†,†,†,†,38.912751,38.856470,†,†,†,†,†,†,†,†,†,†,–,0,†,†,†,†,†
CHOICE ACADEMY MS JHS AT TAFT,District of Columbia,110003000251,†,†,†,†,†,†,†,†,†,†,71,15,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.979790,-76.979793,†,†,†,†,†,†,†,†,†,†,38.936250,38.936254,†,†,†,†,†,†,†,†,†,†,66,7,†,†,†
CHOICE ACADEMY SHS AT DOUGLASS,District of Columbia,110003000259,†,†,†,†,†,†,†,†,†,†,95,33,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.990580,-76.990576,†,†,†,†,†,†,†,†,†,†,38.856480,38.856478,†,†,†,†,†,†,†,†,†,†,–,25,†,†,†
CITY ARTS & PREP PCS,District of Columbia,110005300455,†,†,†,†,†,†,432,499,439,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.995785,-76.995785,-76.995761,†,†,†,†,†,†,†,†,†,38.923611,38.923611,38.923470,†,†,†,†,†,†,†,†,†,–,–,439,†,†,†,†,†,†
CITY COLLEGIATE PCS,District of Columbia,110006100346,†,†,†,†,†,†,†,†,†,†,53,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.066130,†,†,†,†,†,†,†,†,†,†,†,38.914660,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†
CITY LIGHTS PCS,District of Columbia,110005600306,†,†,†,†,†,†,†,†,†,†,57,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.006400,†,†,†,†,†,†,†,†,†,†,†,38.915700,†,†,†,†,†,†,†,†,†,†,†,54,†,†,†,†
CLARK ES,District of Columbia,110003000104,†,†,†,†,†,†,†,†,†,†,225,298,342,372,339,296,†,†,†,†,†,†,†,†,†,†,-77.021660,-77.021660,†,†,†,†,†,†,†,†,†,†,38.945220,38.945215,†,†,†,†,†,†,†,†,†,†,141,209,–,319,96
CLEVELAND ES,District of Columbia,110003000103,301,299,282,272,297,308,304,317,308,294,241,238,338,316,207,223,-77.022694,-77.022694,-77.022694,-77.022694,-77.022694,-77.022694,-77.022694,-77.022694,-77.022694,-77.022871,-77.022830,-77.022828,38.915069,38.915069,38.915069,38.915069,38.915069,38.915069,38.915069,38.915069,38.915069,38.914499,38.914460,38.914459,–,–,–,–,–,–,–,–,308,192,195,185,–,282,135
COLUMBIA HEIGHTS EDUCATION CAMPUS,District of Columbia,110003000396,1563,1494,1567,1554,1477,1481,1320,1240,1384,1272,†,†,†,†,†,†,-77.035471,-77.035471,-77.035471,-77.035471,-77.035471,-77.035471,-77.035471,-77.035471,-77.035471,-77.036463,†,†,38.929370,38.929370,38.929370,38.929370,38.929370,38.929370,38.929370,38.929370,38.929370,38.929996,†,†,–,–,–,–,–,–,–,–,1381,978,†,†,†,†,†
COMMUNITY ACADEMY AMOS 5,District of Columbia,110000700370,†,†,†,†,†,†,†,†,523,258,0,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.013001,-77.032138,-77.032280,†,†,†,†,†,†,†,†,†,38.909100,38.905965,38.906030,†,†,†,†,†,†,†,†,†,523,163,†,†,†,†,†
COMMUNITY ACADEMY AMOS I,District of Columbia,110000700221,†,†,†,†,†,†,†,†,590,444,1051,466,†,†,†,†,†,†,†,†,†,†,†,†,-77.030583,-77.030508,-77.029770,-77.029768,†,†,†,†,†,†,†,†,38.944765,38.945032,38.944970,38.944973,†,†,†,†,†,†,†,†,590,287,–,288,†,†,†
COMMUNITY ACADEMY AMOS II,District of Columbia,110000700353,†,†,†,†,†,†,†,†,329,148,0,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.007209,-77.007788,-77.007310,†,†,†,†,†,†,†,†,†,38.955161,38.954984,38.955070,†,†,†,†,†,†,†,†,†,329,70,†,†,†,†,†
COMMUNITY ACADEMY AMOS III,District of Columbia,110000700398,†,†,†,†,†,†,†,†,†,499,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.013001,-77.012166,†,†,†,†,†,†,†,†,†,†,38.909100,38.909119,†,†,†,†,†,†,†,†,†,†,†,357,†,†,†,†,†
COMMUNITY ACADEMY CAPCS ONLINE,District of Columbia,110000700380,†,†,†,†,†,†,†,†,123,124,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.032541,-77.031600,†,†,†,†,†,†,†,†,†,†,38.906440,38.960480,†,†,†,†,†,†,†,†,†,†,55,0,†,†,†,†,†
COMMUNITY ACADEMY RAND TECH,District of Columbia,110000700361,†,†,†,†,†,†,†,†,†,321,0,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.031570,-77.031620,†,†,†,†,†,†,†,†,†,†,38.960480,38.960310,†,†,†,†,†,†,†,†,†,†,245,†,†,†,†,†
COMMUNITY COLLEGE PREPARATORY ACADEMY PCS,District of Columbia,110009200471,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.993732,†,†,†,†,†,†,†,†,†,†,†,38.861634,†,†,†,†,†,†,†,†,†,†,†,27,†,†,†,†,†,†
CONGRESS HEIGHTS,District of Columbia,110003000192,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,54,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CONSOLIDATED HEADSTART,District of Columbia,110003000095,†,†,†,†,†,†,†,†,†,†,117,79,46,†,†,†,†,†,†,†,†,†,†,†,†,-77.008690,-76.985290,-76.985292,†,†,†,†,†,†,†,†,†,38.900530,38.849350,38.849351,†,†,†,†,†,†,†,†,†,†,–,–,–,†,†
COOK J.F. ES,District of Columbia,110003000101,†,†,†,†,†,†,†,†,†,†,185,248,300,281,239,247,†,†,†,†,†,†,†,†,†,†,-77.009970,-77.009968,†,†,†,†,†,†,†,†,†,†,38.909550,38.909549,†,†,†,†,†,†,†,†,†,†,133,185,–,251,122
COOLIDGE HS,District of Columbia,110003000081,1029,1093,1015,740,561,457,327,310,395,678,679,843,977,900,993,1253,-77.019549,-77.019549,-77.019549,-77.019549,-77.019549,-77.019549,-77.019549,-77.019549,-77.019549,-77.019801,-77.019780,-77.019780,38.967274,38.967274,38.967274,38.967274,38.967274,38.967274,38.967274,38.967274,38.967274,38.966225,38.966250,38.966251,–,–,–,–,–,–,–,–,395,438,306,298,–,222,69
CORRECTIONAL DETENTION,District of Columbia,110003000269,†,†,†,†,†,†,†,†,†,†,25,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.008950,†,†,†,†,†,†,†,†,†,†,†,38.900480,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
CORRECTIONAL TREATMENT,District of Columbia,110003000270,†,†,†,†,†,†,†,†,†,†,9,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.008950,†,†,†,†,†,†,†,†,†,†,†,38.900480,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
CREATIVE MINDS INTERNATIONAL PCS,District of Columbia,110008400440,530,581,587,548,540,518,496,441,181,†,†,†,†,†,†,†,-77.011031,-77.011031,-77.011031,-77.011031,-77.011031,-77.011031,-77.011031,-77.011031,-77.036861,0.000000,†,†,38.942101,38.942101,38.942101,38.942101,38.942101,38.942101,38.942101,38.942101,38.931410,0.000000,†,†,–,–,–,–,–,–,–,–,32,†,†,†,†,†,†
D.C. ACADEMY HIGH SCHOOL,District of Columbia,110003000943,†,†,†,†,†,†,†,†,†,†,†,†,50,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†
DAVIS ES,District of Columbia,110003000099,†,†,†,†,†,†,†,†,†,180,294,338,507,515,614,476,†,†,†,†,†,†,†,†,†,-76.937076,-76.937050,-76.937048,†,†,†,†,†,†,†,†,†,38.878732,38.878750,38.878746,†,†,†,†,†,†,†,†,†,170,244,262,–,440,326
DC ALT LEARNING ACAD TAFT,District of Columbia,110003000252,†,†,†,†,†,†,†,†,†,†,64,33,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.077240,-77.077240,†,†,†,†,†,†,†,†,†,†,38.947000,38.947001,†,†,†,†,†,†,†,†,†,†,–,0,†,†,†
DC BILINGUAL PCS,District of Columbia,110004200273,622,579,530,490,478,453,444,440,364,366,194,†,†,†,†,†,-77.006602,-77.006602,-77.006602,-77.006602,-77.006602,-77.006602,-77.006602,-77.006602,-77.033338,-77.033477,-77.032810,†,38.954823,38.954823,38.954823,38.954823,38.954823,38.954823,38.954823,38.954823,38.927315,38.927457,38.927430,†,–,–,–,–,–,–,–,–,130,265,94,†,†,†,†
DC DEPARTMENT OF CORRECTIONS,DISTRICT OF COLUMBIA,110011900781,45,41,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.976069,-76.976069,†,†,†,†,†,†,†,†,†,†,38.883482,38.883482,†,†,†,†,†,†,†,†,†,†,–,–,†,†,†,†,†,†,†,†,†,†,†,†,†
