ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2006-07,Total Students All Grades (Excludes AE) [Public School] 2002-03,Total Students All Grades (Excludes AE) [Public School] 1998-99,Total Students All Grades (Excludes AE) [Public School] 1994-95,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1986-87,Longitude [Public School] 2024-25,Longitude [Public School] 2023-24,Longitude [Public School] 2022-23,Longitude [Public School] 2021-22,Longitude [Public School] 2020-21,Longitude [Public School] 2019-20,Longitude [Public School] 2018-19,Longitude [Public School] 2017-18,Longitude [Public School] 2014-15,Longitude [Public School] 2010-11,Longitude [Public School] 2006-07,Longitude [Public School] 2002-03,Latitude [Public School] 2024-25,Latitude [Public School] 2023-24,Latitude [Public School] 2022-23,Latitude [Public School] 2021-22,Latitude [Public School] 2020-21,Latitude [Public School] 2019-20,Latitude [Public School] 2018-19,Latitude [Public School] 2017-18,Latitude [Public School] 2014-15,Latitude [Public School] 2010-11,Latitude [Public School] 2006-07,Latitude [Public School] 2002-03,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2014-15,Free Lunch Eligible [Public School] 2010-11,Free Lunch Eligible [Public School] 2006-07,Free Lunch Eligible [Public School] 2002-03,Free Lunch Eligible [Public School] 1998-99,Free Lunch Eligible [Public School] 1994-95,Free Lunch Eligible [Public School] 1990-91
APPLETREE EARLY LEARNING CENTER PCS - DOUGLAS KNOLL,District of Columbia,110005400447,39,51,53,52,61,89,90,181,178,†,†,†,†,†,†,†,-76.974560,-76.974560,-76.974560,-76.974560,-76.974560,-76.974560,-76.974560,-76.974560,-76.974831,†,†,†,38.848622,38.848622,38.848622,38.848622,38.848622,38.848622,38.848622,38.848622,38.848630,†,†,†,–,–,–,–,–,–,–,–,178,†,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - LINCOLN PARK,District of Columbia,110005400448,61,59,60,58,55,60,60,60,60,†,†,†,†,†,†,†,-76.990651,-76.990651,-76.990651,-76.990651,-76.990651,-76.990651,-76.990651,-76.990651,-76.990651,†,†,†,38.891490,38.891490,38.891490,38.891490,38.891490,38.891490,38.891490,38.891490,38.891490,†,†,†,–,–,–,–,–,–,–,–,57,†,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - OKLAHOMA AVENUE,District of Columbia,110005400435,84,160,101,78,113,149,151,143,161,119,†,†,†,†,†,†,-76.975461,-76.975461,-76.975461,-76.975461,-76.975461,-76.975461,-76.975461,-76.975461,-76.975104,-76.976543,†,†,38.894180,38.894180,38.894180,38.894180,38.894180,38.894180,38.894180,38.894180,38.894051,38.889736,†,†,–,–,–,–,–,–,–,–,147,79,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - PARKLANDS AT THEARC,DISTRICT OF COLUMBIA,110005400517,98,99,99,99,94,99,92,†,†,†,†,†,†,†,†,†,-76.977090,-76.977090,-76.977090,-76.977090,-76.977090,-76.977090,-76.977090,†,†,†,†,†,38.843379,38.843379,38.843379,38.843379,38.843379,38.843379,38.843379,†,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - SOUTHWEST,District of Columbia,110005400413,54,84,80,77,63,†,97,108,86,39,†,†,†,†,†,†,-77.019188,-77.019188,-77.019188,-77.019188,-77.019024,†,-77.022949,-77.022949,-77.021841,-77.017605,†,†,38.884485,38.884485,38.884485,38.884485,38.884556,†,38.879890,38.879890,38.878880,38.879326,†,†,–,–,–,–,–,†,–,–,75,30,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - SPRING VALLEY,DISTRICT OF COLUMBIA,110005400782,113,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.097138,†,†,†,†,†,†,†,†,†,†,†,38.945764,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS AMIDON,District of Columbia,110005400415,†,†,†,†,†,†,†,†,†,40,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.032301,†,†,†,†,†,†,†,†,†,†,†,38.925182,†,†,†,†,†,†,†,†,†,†,†,30,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS PARKLAND,District of Columbia,110005400451,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
APPLETREE EARLY LEARNING PCS - WATERFRONT STATION,DISTRICT OF COLUMBIA,110005400783,90,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.017086,†,†,†,†,†,†,†,†,†,†,†,38.878389,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ARMSTRONG CAREER DIVERSION PRO,District of Columbia,110003000018,†,†,†,†,†,†,†,†,†,†,†,†,†,21,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†
ARTS AND TECHNOLOGY PCS,District of Columbia,110000100215,†,†,†,†,†,†,†,†,†,559,606,625,†,†,†,†,†,†,†,†,†,†,†,†,-76.924626,-76.925859,-76.945810,†,†,†,†,†,†,†,†,†,38.892042,38.891801,38.886600,†,†,†,†,†,†,†,†,†,†,435,580,569,†,†,†
ASSOCIATES FOR RENEWAL IN EDUCATION PCS           ,District of Columbia,110000200216,†,†,†,†,†,†,†,†,†,†,†,65,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.010447,†,†,†,†,†,†,†,†,†,†,†,38.909730,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†
BACKUS MS,District of Columbia,110003000154,†,†,†,†,†,†,†,†,†,†,212,569,481,488,256,344,†,†,†,†,†,†,†,†,†,†,-76.995930,-76.995927,†,†,†,†,†,†,†,†,†,†,38.952080,38.952080,†,†,†,†,†,†,†,†,†,†,132,297,–,146,40
BALLOU HS,District of Columbia,110003000084,597,585,657,636,664,573,650,880,755,1064,1279,964,899,1290,1377,1999,-77.001373,-77.001373,-77.001373,-77.001373,-77.001373,-77.001373,-77.001373,-77.001373,-77.001610,-77.000616,-77.001670,-77.001667,38.838443,38.838443,38.838443,38.838443,38.838443,38.838443,38.838443,38.838443,38.840241,38.840304,38.839010,38.839005,–,–,–,–,–,–,–,–,755,896,833,630,–,547,230
BALLOU STAY HS,District of Columbia,110003000207,278,294,287,242,269,265,322,271,†,81,881,538,238,244,411,†,-77.001373,-77.001373,-77.001373,-77.001373,-77.001373,-77.001373,-77.001373,-77.001373,-77.001610,-77.000616,-77.001670,-77.001667,38.838443,38.838443,38.838443,38.838443,38.838443,38.838443,38.838443,38.838443,38.840241,38.840304,38.839010,38.839005,–,–,–,–,–,–,–,–,0,0,–,–,–,0,0
BANCROFT ES,District of Columbia,110003000120,821,768,715,676,627,616,567,544,508,458,417,464,577,548,652,753,-77.040550,-77.040550,-77.040550,-77.040550,-77.040550,-77.040550,-77.040550,-77.030422,-77.040541,-77.040341,-77.040370,-77.040369,38.934502,38.934502,38.934502,38.934502,38.934502,38.934502,38.934502,38.943563,38.934389,38.934237,38.934260,38.934262,–,–,–,–,–,–,–,–,508,309,300,350,–,514,133
BARBARA JORDAN PCS,District of Columbia,110002800244,†,†,†,†,†,†,†,†,†,†,105,55,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.011180,-77.011175,†,†,†,†,†,†,†,†,†,†,38.962610,38.962613,†,†,†,†,†,†,†,†,†,†,83,34,†,†,†
BARD HS EARLY COLLEGE DC (BARD DC),DISTRICT OF COLUMBIA,110003000529,331,369,424,377,265,167,†,†,†,†,†,†,†,†,†,†,-76.986149,-76.986149,-76.937371,-76.937371,-76.937371,-76.937371,†,†,†,†,†,†,38.844990,38.844990,38.879051,38.879051,38.879051,38.879051,†,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,†,†,†,†
BARNARD ES,District of Columbia,110003000119,573,591,580,596,617,646,620,642,602,435,334,327,520,555,533,358,-77.017790,-77.017790,-77.017790,-77.017790,-77.017790,-77.017790,-77.017790,-77.017790,-77.017790,-77.018545,-77.018080,-77.018075,38.947890,38.947890,38.947890,38.947890,38.947890,38.947890,38.947890,38.947890,38.947890,38.948504,38.948430,38.948426,–,–,–,–,–,–,–,–,599,262,213,230,–,398,198
BASIS DC PCS,District of Columbia,110008300443,692,690,663,650,663,640,637,598,551,†,†,†,†,†,†,†,-77.023385,-77.023385,-77.023385,-77.023385,-77.023385,-77.023385,-77.023385,-77.023385,-77.023291,0.000000,†,†,38.895268,38.895268,38.895268,38.895268,38.895268,38.895268,38.895268,38.895268,38.895270,0.000000,†,†,–,–,–,–,–,–,–,–,75,†,†,†,†,†,†
