ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2024-25,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2022-23,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2019-20,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2018-19,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2014-15,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2010-11,School ID (12-digit) - NCES Assigned [Public School] Latest available year
CENTER CITY PCS - CONGRESS HEIGHTS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110007300412
CENTER CITY PCS - PETWORTH,District of Columbia,0,0,0,–,–,0,–,–,6,0,110007300395
CENTER CITY PCS - SHAW,District of Columbia,0,0,0,–,–,0,–,–,0,0,110007300404
CENTER CITY PCS - TRINIDAD,District of Columbia,1,0,0,–,–,0,–,–,0,0,110007300403
CESAR CHAVEZ PCS FOR PUBLIC POLICY - CAPITOL HILL,District of Columbia,†,†,†,†,†,†,–,–,0,0,110000500219
CESAR CHAVEZ PCS FOR PUBLIC POLICY - CHAVEZ PREP,District of Columbia,†,†,†,†,†,†,–,–,0,2,110000500377
CESAR CHAVEZ PCS FOR PUBLIC POLICY - PARKSIDE MS,District of Columbia,†,†,†,†,†,0,–,–,0,0,110000500328
CESAR CHAVEZ PUBLIC CHARTER SCHOOLS FOR PUBLIC POLICY,District of Columbia,0,0,0,–,–,0,1,–,1,†,110000500456
CHILD AND FAMILY SERVICES REGULAR ED,District of Columbia,†,†,†,†,†,†,†,†,†,†,110003000271
CHOICE ACADEMY AT WASH MET,District of Columbia,†,†,†,†,†,†,†,†,0,0,110003000418
CITY ARTS & PREP PCS,District of Columbia,†,†,†,†,†,†,–,–,0,†,110005300455
CLEVELAND ES,District of Columbia,0,0,0,–,1,1,–,–,0,1,110003000103
COLUMBIA HEIGHTS EDUCATION CAMPUS,District of Columbia,1,2,2,3,1,2,3,3,2,1,110003000396
COMMUNITY ACADEMY AMOS 5,District of Columbia,†,†,†,†,†,†,†,†,1,5,110000700370
COMMUNITY ACADEMY AMOS I,District of Columbia,†,†,†,†,†,†,†,†,1,1,110000700221
COMMUNITY ACADEMY AMOS II,District of Columbia,†,†,†,†,†,†,†,†,0,0,110000700353
COMMUNITY ACADEMY AMOS III,District of Columbia,†,†,†,†,†,†,†,†,†,0,110000700398
COMMUNITY ACADEMY CAPCS ONLINE,District of Columbia,†,†,†,†,†,†,†,†,1,0,110000700380
COMMUNITY ACADEMY RAND TECH,District of Columbia,†,†,†,†,†,†,†,†,†,0,110000700361
COMMUNITY COLLEGE PREPARATORY ACADEMY PCS,District of Columbia,†,†,†,†,†,†,†,†,†,†,110009200471
CONSOLIDATED HEADSTART,District of Columbia,†,†,†,†,†,†,†,†,†,†,110003000095
COOLIDGE HS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000081
CREATIVE MINDS INTERNATIONAL PCS,District of Columbia,3,1,0,2,–,0,–,–,0,†,110008400440
DAVIS ES,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000099
DC BILINGUAL PCS,District of Columbia,0,0,0,–,–,0,1,–,0,0,110004200273
DC DEPARTMENT OF CORRECTIONS,DISTRICT OF COLUMBIA,0,0,†,†,†,†,†,†,†,†,110011900781
DC PREP PCS - ANACOSTIA ES,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,†,†,110004800501
DC PREP PCS - ANACOSTIA MS,DISTRICT OF COLUMBIA,0,0,0,–,–,†,†,†,†,†,110004800532
DC PREP PCS - BENNING ES,District of Columbia,1,1,1,–,–,0,–,–,0,0,110004800387
DC PREP PCS - BENNING MS,District of Columbia,0,0,0,1,1,1,–,–,0,†,110004800474
DC PREP PCS - EDGEWOOD ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110004800388
DC PREP PCS - EDGEWOOD MS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110004800277
DC SCHOLARS PCS,District of Columbia,0,0,0,–,–,0,–,–,0,†,110008500438
DC WILDFLOWER PCS - THE RIVERSEED SCHOOL,DISTRICT OF COLUMBIA,0,0,0,†,†,†,†,†,†,†,110011800778
DC YOUTH RE ENGAGEMENT CENTER,DISTRICT OF COLUMBIA,†,†,†,†,†,†,†,†,†,†,110009800493
DEAL MS,District of Columbia,3,4,4,3,7,5,3,3,4,2,110003000138
DEMOCRACY PREP CONGRESS HEIGHTS PCS,DISTRICT OF COLUMBIA,†,†,†,†,†,†,–,–,0,†,110009500485
DIGITAL PIONEERS ACADEMY PCS - CAPITOL HILL,DISTRICT OF COLUMBIA,0,0,0,–,†,†,†,†,†,†,110010900544
DIGITAL PIONEERS ACADEMY PCS - JOHENNING,DISTRICT OF COLUMBIA,0,1,1,1,1,1,–,†,†,†,110010900521
DISTRICT OF COLUMBIA INTERNATIONAL SCHOOL,DISTRICT OF COLUMBIA,1,1,0,1,1,1,1,1,0,†,110009700492
DOROTHY I. HEIGHT ES,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,†,†,110003000504
DREW ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000097
DUKE ELLINGTON SCHOOL OF THE ARTS,District of Columbia,0,0,–,–,–,1,1,1,0,0,110003000016
DUNBAR HS,District of Columbia,0,0,0,–,1,1,1,1,0,0,110003000079
E.L. HAYNES PCS - ES,District of Columbia,0,0,0,–,–,0,–,–,0,†,110004300472
E.L. HAYNES PCS - HS,District of Columbia,0,0,1,1,3,3,3,2,0,0,110004300433
E.L. HAYNES PCS - MS,District of Columbia,0,0,0,–,–,0,1,1,0,0,110004300274
EAGLE ACADEMY PCS - CAPITOL RIVERFRONT,District of Columbia,†,0,0,–,–,2,–,–,0,0,110004900434
EAGLE ACADEMY PCS - CONGRESS HEIGHTS,District of Columbia,†,0,0,–,–,0,–,–,0,0,110004900278
EARLY CHILDHOOD ACADEMY PCS,District of Columbia,†,†,†,†,†,†,†,†,†,†,110005700307
EARLY CHILDHOOD ACADEMY PCS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110005700431
EASTERN HS,District of Columbia,0,0,0,–,–,1,2,2,1,0,110003000078
EATON ES,District of Columbia,1,0,0,–,–,0,1,1,0,2,110003000096
ELIOT-HINE MS,District of Columbia,0,0,0,–,–,0,–,–,0,1,110003000151
ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS - BROOKLAND,District of Columbia,0,0,0,–,–,0,–,–,0,0,110000900223
ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS - EAST END,DISTRICT OF COLUMBIA,0,1,1,–,–,0,–,†,†,†,110000900520
EMERY ES,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000094
EXCEL ACADEMY,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,†,†,†,110003000519
EXCEL ACADEMY PCS,District of Columbia,†,†,†,†,†,†,†,–,0,0,110007600408
EXCEL ACADEMY PCS LEAD,DISTRICT OF COLUMBIA,†,†,†,†,†,†,†,†,0,†,110007600490
FEREBEE HOPE ES,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000069
FRIENDSHIP PCS - ARMSTRONG ELEMENTARY,DISTRICT OF COLUMBIA,0,0,0,–,–,1,2,2,†,†,110000800497
FRIENDSHIP PCS - ARMSTRONG MIDDLE,DISTRICT OF COLUMBIA,0,0,0,–,–,1,†,†,†,†,110000800526
FRIENDSHIP PCS - BLOW PIERCE ELEMENTARY,District of Columbia,1,2,2,1,2,2,–,–,0,†,110000800479
FRIENDSHIP PCS - BLOW PIERCE MIDDLE,District of Columbia,2,0,1,1,1,1,1,–,0,†,110000800478
FRIENDSHIP PCS - CHAMBERLAIN ELEMENTARY,District of Columbia,0,0,0,–,1,2,1,1,0,†,110000800480
FRIENDSHIP PCS - CHAMBERLAIN MIDDLE,District of Columbia,0,0,1,1,–,0,–,–,0,†,110000800483
FRIENDSHIP PCS - COLLEGIATE ACADEMY,District of Columbia,1,1,0,–,–,0,–,–,0,0,110000800338
FRIENDSHIP PCS - IDEAL ELEMENTARY,DISTRICT OF COLUMBIA,0,0,0,–,–,0,†,†,†,†,110000800530
FRIENDSHIP PCS - IDEAL MIDDLE,DISTRICT OF COLUMBIA,0,0,0,–,–,0,†,†,†,†,110000800528
FRIENDSHIP PCS - ONLINE ACADEMY,DISTRICT OF COLUMBIA,1,3,1,1,1,0,1,–,†,†,110000800495
FRIENDSHIP PCS - SOUTHEAST ELEMENTARY,District of Columbia,0,0,0,–,–,0,–,–,0,0,110000800382
FRIENDSHIP PCS - SOUTHEAST MIDDLE,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,†,†,†,110000800515
FRIENDSHIP PCS - TECHNOLOGY PREPARATORY HS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,†,†,110000800496
FRIENDSHIP PCS - TECHNOLOGY PREPARATORY MS,District of Columbia,†,†,†,†,†,0,–,–,1,0,110000800422
FRIENDSHIP PCS - WOODRIDGE INTERNATIONAL ELEMENTARY,District of Columbia,0,0,0,–,–,0,–,–,2,†,110000800482
FRIENDSHIP PCS - WOODRIDGE INTERNATIONAL MIDDLE,District of Columbia,0,0,0,–,–,1,1,1,0,†,110000800481
FRIENDSHIP PCS BLOW PIERCE,District of Columbia,†,†,†,†,†,†,†,†,†,0,110000800323
FRIENDSHIP PCS CHAMBERLAIN,District of Columbia,†,†,†,†,†,†,†,†,†,0,110000800222
FRIENDSHIP PCS WOODRIDGE CAMPUS,District of Columbia,†,†,†,†,†,†,†,†,†,0,110000800341
GARFIELD ES,District of Columbia,1,1,3,–,–,0,–,–,0,0,110003000165
GARNET-PATTERSON STAY HS,District of Columbia,0,0,0,–,–,0,–,–,†,†,110003000264
GARRISON ES,District of Columbia,0,0,0,–,–,0,–,–,0,1,110003000171
GIRLS GLOBAL ACADEMY PCS,DISTRICT OF COLUMBIA,0,0,1,1,1,†,†,†,†,†,110011300537
GLOBAL CITIZENS PCS,DISTRICT OF COLUMBIA,0,0,0,–,†,†,†,†,†,†,110011600545
GOODWILL EXCEL CENTER PCS,DISTRICT OF COLUMBIA,0,0,1,0,0,1,1,0,†,†,110010500508
H.D. COOKE ES,District of Columbia,1,1,0,–,1,1,1,1,1,1,110003000100
H.D. WOODSON HS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000055
HAMILTON CENTER,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000261
HARDY MS,District of Columbia,0,0,0,1,1,2,1,1,4,3,110003000186
HARMONY DC PCS - SCHOOL OF EXCELLENCE,DISTRICT OF COLUMBIA,1,1,1,–,–,0,–,–,0,†,110009600491
HART MS,District of Columbia,0,0,0,1,1,1,1,–,0,0,110003000135
HEARST ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000183
HENDLEY ES,District of Columbia,0,0,0,–,1,0,–,–,0,0,110003000182
HOPE COMMUNITY PCS - LAMOND,District of Columbia,†,†,†,†,–,1,–,–,0,0,110005100301
HOPE COMMUNITY PCS - TOLSON,District of Columbia,0,0,0,–,–,0,–,–,0,0,110005100386
HOSPITALITY HIGH SCHOOL,District of Columbia,†,†,†,†,†,†,†,†,0,0,110001000224
HOUSTON ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000181
HOWARD ROAD ACADEMY PCS  MLK CAMPUS,District of Columbia,†,†,†,†,†,†,†,†,†,0,110002900425
HOWARD ROAD ACADEMY PCS PENNSYLVANIA AVENUE,District of Columbia,†,†,†,†,†,†,†,†,†,0,110002900389
HOWARD UNIVERSITY MS OF MATHEMATICS AND SCIENCE PCS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110005800308
HYDE-ADDISON ES,District of Columbia,0,0,0,–,1,0,–,–,0,2,110003000180
I DREAM PCS,DISTRICT OF COLUMBIA,0,0,0,–,–,†,†,†,†,†,110011400538
