ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2024-25,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2022-23,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2019-20,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2018-19,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2014-15,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2010-11,School ID (12-digit) - NCES Assigned [Public School] Latest available year
MAYA ANGELOU PCS  EVANS MIDDLE SCHOOL,District of Columbia,†,†,†,†,†,†,†,†,†,0,110001400392
MAYA ANGELOU PCS - ACADEMY AT DC JAIL,DISTRICT OF COLUMBIA,†,†,0,†,†,†,†,†,†,†,110001400543
MAYA ANGELOU PCS - HS,District of Columbia,0,0,0,–,–,0,0,1,0,0,110001400391
MAYA ANGELOU PCS YOUNG ADULT LEARNING CENTER,District of Columbia,†,†,†,†,†,†,†,†,†,†,110001400465
MAYA ANGELOU SHAW CAMPUS PCS,District of Columbia,†,†,†,†,†,†,†,†,†,0,110001400228
MCKINLEY MS,District of Columbia,0,0,0,–,–,0,–,–,0,†,110003000470
MCKINLEY TECHNOLOGY HS,District of Columbia,0,0,0,1,1,1,1,–,1,0,110003000267
MERIDIAN PCS,District of Columbia,0,1,1,–,–,0,–,–,1,0,110001500229
MILITARY ROAD EARLY LEARNING CENTER,DISTRICT OF COLUMBIA,0,0,1,–,†,†,†,†,†,†,110003000540
MINER ES,District of Columbia,0,0,1,1,–,0,–,–,0,0,110003000004
MONTGOMERY ES,District of Columbia,†,†,†,†,†,†,†,†,†,†,110003000003
MONUMENT ACADEMY PCS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,†,†,110010000500
MOTEN ES,District of Columbia,0,0,0,–,–,0,–,–,1,0,110003000002
MUNDO VERDE BILINGUAL PCS - CALLE OCHO,DISTRICT OF COLUMBIA,1,1,1,–,–,0,†,†,†,†,110008600527
MUNDO VERDE BILINGUAL PCS - J.F. COOK,District of Columbia,0,0,1,–,–,0,–,–,0,†,110008600444
MURCH ES,District of Columbia,0,1,2,3,4,7,8,9,2,0,110003000001
NALLE ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000163
NATIONAL COLLEGIATE PREPARATORY PCHS,District of Columbia,†,†,†,†,†,0,–,–,0,0,110007900424
NEW BEGINNINGS FORMERLY OAK HILL,District of Columbia,†,†,†,†,†,†,†,†,†,†,110007800213
NIA COMMUNITY PCS,District of Columbia,†,†,†,†,†,†,†,†,†,0,110007000332
NOYES ES,District of Columbia,0,0,0,–,–,0,–,1,0,2,110003000164
OPTIONS PCS,District of Columbia,†,†,†,†,†,†,†,†,0,0,110001800232
OYSTER-ADAMS BILINGUAL SCHOOL,District of Columbia,0,0,0,–,–,0,–,–,0,1,110003000160
PATTERSON ES,District of Columbia,0,0,0,–,–,0,–,–,0,2,110003000158
PAUL PCS - INTERNATIONAL HS,District of Columbia,0,0,0,–,–,0,–,–,0,†,110003900477
PAUL PCS - MS,District of Columbia,0,0,0,–,–,1,1,–,0,0,110003900257
PAYNE ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000157
PEABODY ES (CAPITOL HILL CLUSTER),District of Columbia,0,1,0,–,–,0,–,–,0,0,110003000156
PERRY STREET PREPARATORY PCS,District of Columbia,0,1,1,1,–,0,1,–,1,0,110001100225
PHELPS ARCHITECTURE CONSTRUCTION AND ENGINEERING HS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000407
PLUMMER ES,District of Columbia,0,0,0,–,–,0,–,–,1,0,110003000126
POTOMAC PREPARATORY PCS,District of Columbia,†,†,†,†,†,†,†,†,0,2,110006000310
POWELL ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000125
PRE K INCENTIVE PROGRAM,District of Columbia,†,†,†,†,†,†,†,†,†,†,110003000297
PROSPECT LC,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000092
RANDLE HIGHLANDS ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000029
RAYMOND ES,District of Columbia,0,0,0,–,–,0,–,–,0,1,110003000033
RESIDENTIAL SCHOOLS,District of Columbia,†,†,†,†,†,†,†,†,†,†,110003000265
RICHARD WRIGHT PCS FOR JOURNALISM AND MEDIA ARTS,District of Columbia,0,0,0,–,–,0,–,–,3,†,110008200441
RIVER TERRACE EDUCATION CAMPUS,DISTRICT OF COLUMBIA,0,0,0,0,0,0,–,–,†,†,110003000506
RIVER TERRACE ES,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000028
ROCKETSHIP PCS - INFINITY COMMUNITY PREP,DISTRICT OF COLUMBIA,0,1,0,–,–,†,†,†,†,†,110010600534
ROCKETSHIP PCS - LEGACY PREP,DISTRICT OF COLUMBIA,0,0,0,–,1,1,2,†,†,†,110010600514
ROCKETSHIP PCS - RISE ACADEMY,DISTRICT OF COLUMBIA,0,0,0,1,1,1,1,–,†,†,110010600509
RON BROWN COLLEGE PREPARATORY HS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,†,†,110003000512
RON BROWN MS,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000021
ROOSEVELT HS,District of Columbia,1,0,0,–,–,0,–,–,0,3,110003000008
ROOTS PCS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110002000234
ROOTS PCS NORTH CAPITOL STREET CAMPUS,District of Columbia,†,†,†,†,†,†,†,†,†,†,110002000436
ROSS ES,District of Columbia,0,0,0,–,–,0,–,–,0,2,110003000027
SAVOY ES,District of Columbia,0,0,0,–,–,0,1,1,2,0,110003000025
SCHOOL FOR ARTS IN LEARNING PCS SAIL,District of Columbia,†,†,†,†,†,†,†,†,†,0,110002100235
SCHOOL WITHOUT WALLS HS,District of Columbia,0,0,0,–,–,0,–,–,0,2,110003000131
SCHOOL-WITHIN-SCHOOL AT GODING,District of Columbia,1,1,1,1,–,0,–,–,1,†,110003000466
SEATON ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000024
SELA PCS,District of Columbia,0,0,0,–,–,0,–,1,1,†,110008800461
SEPTIMA CLARK PCS,District of Columbia,†,†,†,†,†,†,†,†,†,0,110006600318
SHAED ES,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000022
SHARPE HEALTH SCHOOL,District of Columbia,†,†,†,†,†,†,†,†,0,0,110003000089
SHAW MS AT GARNET PATTERSON,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000020
SHEPHERD ES,District of Columbia,0,0,0,–,–,0,–,–,1,0,110003000030
SHINING STARS MONTESSORI ACADEMY PCS,District of Columbia,0,0,0,–,–,2,3,–,1,†,110008100442
SHIRLEY CHISHOLM ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000072
SIMON ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000054
SMOTHERS ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000064
SOCIAL JUSTICE PCS,DISTRICT OF COLUMBIA,0,0,0,–,–,†,†,†,†,†,110011500539
SOMERSET PREPARATORY ACADEMY PCS,District of Columbia,†,†,†,†,†,†,–,–,0,†,110008900462
SOUSA MS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000019
SPINGARN SHS,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000130
SPINGARN STAY,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000200
ST. COLETTA SPECIAL EDUCATION PCS,District of Columbia,0,0,0,0,0,0,0,0,11,0,110006400367
STANTON ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000013
STATESMEN COLLEGE PREPARATORY  ACADEMY FOR BOYS PCS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,†,†,†,110011000518
STODDERT ES,District of Columbia,0,0,0,–,–,0,–,3,1,0,110003000050
STUART-HOBSON MS (CAPITOL HILL CLUSTER),District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000191
SUSTAINABLE FUTURES PCS,DISTRICT OF COLUMBIA,†,†,†,†,†,†,†,0,†,†,110010700513
TAKOMA ES,District of Columbia,0,0,0,–,–,0,–,–,1,0,110003000011
THADDEUS STEVENS EARLY LEARNING CENTER,DISTRICT OF COLUMBIA,0,0,0,–,–,†,†,†,†,†,110003000531
THE CHILDREN'S GUILD DC PCS,DISTRICT OF COLUMBIA,1,0,0,–,–,0,–,–,†,†,110010100499
THE NEXT STEP EL PROXIMO PASO PCS,District of Columbia,†,†,†,†,†,†,†,†,0,0,110001700231
THE NEXT STEP PCS-ADULT,District of Columbia,†,†,†,†,†,†,†,†,†,†,110001700454
THE SEED PCS OF WASHINGTON DC,District of Columbia,1,0,1,1,1,1,1,1,0,0,110002200236
THE SOJOURNER TRUTH SCHOOL PCS,DISTRICT OF COLUMBIA,0,0,0,–,–,†,†,†,†,†,110011100535
THEA BOWMAN PREPARATORY ACADEMY PCS,District of Columbia,†,†,†,†,†,†,†,†,†,0,110007500406
THOMAS ES,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000049
THOMSON ES,District of Columbia,0,0,0,–,–,1,1,1,1,2,110003000076
THURGOOD MARSHALL ACADEMY PCS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003400249
TRANSITION ACADEMY AT SHADD,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000416
TREE OF LIFE COMMUNITY PCS,District of Columbia,†,†,†,†,†,†,†,†,0,0,110004000258
TRUESDELL ES,District of Columbia,0,0,0,–,–,0,–,–,1,0,110003000075
TUBMAN ES,District of Columbia,0,0,0,–,–,0,–,–,0,1,110003000074
TUITION GRANT DCPS NON PUBLIC,District of Columbia,†,†,†,†,†,†,†,†,†,†,110003000203
TURNER ES,District of Columbia,0,1,0,–,–,1,1,2,1,0,110003000073
TWO RIVERS PCS - 4TH STREET,District of Columbia,0,0,1,–,0,0,–,–,1,0,110004500279
TWO RIVERS PCS - YOUNG ES,DISTRICT OF COLUMBIA,1,1,0,–,–,0,–,–,†,†,110004500498
TWO RIVERS PCS - YOUNG MS,DISTRICT OF COLUMBIA,0,0,0,–,–,†,†,†,†,†,110004500533
TWO RIVERS PCS MIDDLE SCHOOL,District of Columbia,†,†,†,†,†,†,†,†,†,0,110004500426
VAN NESS ES,DISTRICT OF COLUMBIA,0,0,0,–,1,1,1,1,†,†,110003000505
WALKER-JONES EDUCATION CAMPUS,District of Columbia,0,0,0,–,–,0,–,–,0,1,110003000070
WASHINGTON GLOBAL PCS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,†,†,110010200503
WASHINGTON LATIN PCS - ANNA JULIA COOPER MS,DISTRICT OF COLUMBIA,0,1,1,†,†,†,†,†,†,†,110001900779
WASHINGTON LATIN PCS - MS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110001900324
WASHINGTON LATIN PCS - UPPER SCHOOL,District of Columbia,1,0,0,–,–,0,–,–,0,0,110001900423
WASHINGTON LEADERSHIP ACADEMY PCS,DISTRICT OF COLUMBIA,0,0,0,–,–,0,–,–,†,†,110010300510
WASHINGTON MATHEMATICS SCIENCE TECHNOLOGY PCHS,District of Columbia,†,†,†,†,†,†,†,–,0,0,110002600240
WASHINGTON METROPOLITAN HS,District of Columbia,†,†,†,†,†,0,–,–,0,0,110003000397
WASHINGTON YU YING PCS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110007700411
WATKINS ES (CAPITOL HILL CLUSTER),District of Columbia,1,0,0,–,–,0,–,–,1,0,110003000048
WHEATLEY EDUCATION CAMPUS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000068
WHITTIER ES,District of Columbia,1,1,0,–,–,0,–,–,0,0,110003000065
WILLIAM E  DOAR JR WEDJ EDGEWOOD ELEMENTARY PCS,District of Columbia,†,†,†,†,†,†,†,†,†,0,110005300303
WILLIAM E  DOAR JR WEDJ EDGEWOOD MIDDLE AND UPPER,District of Columbia,†,†,†,†,†,†,†,†,†,0,110005300430
WILLIAM E DOAR PCS NW SOLDIERS HOME,District of Columbia,†,†,†,†,†,†,†,†,†,0,110005300428
WINSTON EC,District of Columbia,†,†,†,†,†,†,†,†,†,0,110003000061
YOUTH SERVICES CENTER,District of Columbia,†,†,†,†,†,†,†,†,0,0,110003000296
YOUTHBUILD PCS,District of Columbia,†,†,†,†,†,†,†,†,0,0,110005900309


Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Public Elementary/Secondary School Universe Survey" 2010-11 v.2a  2017-18 v.1a  2018-19 v.1a  2019-20 v.1a  2020-21 v.1a  2021-22 v.1a  2022-23 v.1a  2023-24 v.1a  2024-25 v.1a; "Public Elementary/Secondary School Universe Survey Membership Data" 2014-15 v.1a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
